,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
0,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
1,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
2,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
3,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
4,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
5,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
6,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
7,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
8,95558,,English,,64.625,8,8,tv,FALSE
9,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
10,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
11,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
12,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
13,158876,,Chinese,,58.304,8.4,9,tv,FALSE
14,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
15,117465,,Japanese,,62.392,10,4,tv,FALSE
16,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
17,208891,,Japanese,,59.825,8.667,3,tv,FALSE
18,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
19,82856,,English,,1108.646,8.488,8697,tv,FALSE
20,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
21,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
22,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
23,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
24,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
25,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
26,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
27,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
28,95558,,English,,64.625,8,8,tv,FALSE
29,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
30,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
31,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
32,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
33,158876,,Chinese,,58.304,8.4,9,tv,FALSE
34,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
35,117465,,Japanese,,62.392,10,4,tv,FALSE
36,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
37,208891,,Japanese,,59.825,8.667,3,tv,FALSE
38,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
39,82856,,English,,1108.646,8.488,8697,tv,FALSE
40,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
41,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
42,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
43,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
44,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
45,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
46,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
47,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
48,95558,,English,,64.625,8,8,tv,FALSE
49,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
50,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
51,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
52,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
53,158876,,Chinese,,58.304,8.4,9,tv,FALSE
54,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
55,117465,,Japanese,,62.392,10,4,tv,FALSE
56,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
57,208891,,Japanese,,59.825,8.667,3,tv,FALSE
58,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
